Masked Date,col-A1,col-A2,col-A3,col-A4,col-B1,col-B2,col-B3,col-B4,col-C1,col-C2,col-C3,col-C4,col-D1,col-D2,col-D3,col-D4,col-E1,col-E2,col-E3,col-E4,col-F1,col-F2,col-F3,col-F4,col-G,col-H,col-I,col-J,col-L,col-M,col-N,col-N1,col-O,col-P,col-Q,col-R,col-S,col-T,col-U,col-V,col-W,col-Predict
65,2517.174258,671.8130209,5478.457393,1413.758249,0.421590948,0,718.5307942,198.5330158,1.839502896,0,362.6110052,48.24239126,0,0,223.6021747,0.97790127,0,0,176.189041,0.67274622,0,0,0,4.02091463,4239.469556,7577.374443,1.12612654,144,0,0.80215932,244.4821646,0,680,4213.347424,0,40,500,300,258.0030939,0,11717.48784,17954.12268
66,2452.06882,671.8130209,5472.062975,1413.758249,0.421435837,0,717.4518925,198.5330158,1.826970325,0,359.3234959,48.24239126,0,0,220.6518625,0.97790127,0,0,174.8110083,0.67274622,0,0,0,4.02091463,4175.641731,7560.994969,1.12612654,144,0,0.80215932,244.4821646,0,0,4213.347424,0,40,500,300,240.0091639,0,11637.27784,17175.91875
67,2695.070135,671.8130209,5462.433024,1413.758249,0.423180833,0,719.0806973,198.5330158,1.825717068,0,357.7018395,48.24239126,0,0,218.6927434,0.97790127,0,0,173.6159556,0.67274622,0,0,0,4.02091463,4418.64747,7548.214061,1.12612654,144,0,0.80215932,244.4821646,0,0,4213.347424,0,40,500,300,200.0091708,0,11867.50784,17366.14875
68,2490.499132,671.8130209,5456.61893,1413.758249,0.428726041,0,727.2288729,198.5330158,1.833236611,0,358.5574785,48.24239126,0,0,220.1569925,0.97790127,0,0,174.4242846,0.67274622,0,0,0,4.02091463,4214.199209,7553.566684,1.12612654,144,0,0.80215932,244.4821646,0,0,2013.347424,0,40,500,300,300.0092889,0,11668.40784,15067.04887
71,2340.875146,671.8130209,5448.925829,1413.758249,0.422909389,0,715.0067576,198.5330158,1.814994758,0,355.6950058,48.24239126,0,0,218.7726289,0.97790127,0,0,174.8730446,0.67274622,0,0,0,4.02091463,4064.594084,7529.810471,1.12612654,144,0,0.80215932,244.4821646,0,0,2013.347424,0,40,500,300,624.0138367,0,11495.04784,15217.69342
72,2330.877695,671.8130209,5449.1638,1413.758249,0.422909389,0,715.0188396,198.5330158,1.81193124,0,355.1061814,48.24239126,0,0,217.9431876,0.97790127,0,0,174.4580192,0.67274622,0,0,0,4.02091463,4054.55554,7528.265262,1.12612654,144,0,0.80215932,244.4821646,0,0,2013.347424,0,40,500,300,624.0138367,0,11483.46784,15206.11342
73,2299.285372,671.8130209,5433.642953,1413.758249,0.425662604,0,718.1142795,198.5330158,1.815969513,0,355.2330115,48.24239126,0,0,215.7858743,0.97790127,0,0,173.6912405,0.67274622,0,0,0,4.02091463,4024.138113,7511.874489,1.12612654,144,0,0.80215932,244.4821646,0,0,2013.347424,0,40,500,300,653.0097669,0,11436.65784,15188.29935
74,2664.305417,671.8130209,5433.45804,1413.758249,0.425352383,0,718.4947789,198.5330158,1.817779773,0,355.7155458,48.24239126,0,0,216.2970703,0.97790127,0,0,174.4406882,0.67274622,0,0,0,4.02091463,4311.665727,7591.307185,1.12612654,144,0,0.80215932,244.4821646,0,0,2013.347424,0,40,500,300,668.0102211,0,11803.61784,15570.2598
75,2952.0707,671.8566053,5427.678158,1413.758249,0.370879988,0,721.8077057,198.5330158,1.831983354,0,358.1588286,48.24239126,0,0,219.5791945,0.97790127,0,0,175.3129659,0.67274622,0,0,0,4.02091463,4558.695278,7636.176961,1.12612654,144,0,0.80215932,244.4821646,0,0,2013.347424,0,40,500,300,353.0093192,0,12095.51784,15547.1589
78,3372.429292,671.8566053,5426.59561,1413.758249,0.371417836,0,723.3654248,198.5330158,520.7324048,0,360.3392598,48.24239126,0,0,222.4279386,0.97790127,0,0,176.4130215,0.67274622,0,0,0,4.02091463,5498.066775,7642.669418,1.12612654,144,0,0.80215932,244.4821646,0,0,2013.347424,0,40,500,300,415.022,0,13041.37784,16555.03158
79,3362.445719,671.8566053,5426.837875,1413.758249,0.371350605,0,723.2465044,198.5330158,520.060492,0,359.8859864,48.24239126,0,0,222.1100201,0.97790127,0,0,176.4639261,0.67274622,0,0,0,4.02091463,5487.411862,7642.071835,1.12612654,144,0,0.80215932,244.4821646,511.4285714,0,2013.347424,0,40,500,300,415.022,0,12518.69926,16543.78158
80,3243.703518,671.8566053,5406.84925,1413.758249,0.369871523,0,719.0903622,198.5330158,519.8628706,0,358.7684397,48.24239126,0,0,221.7512169,0.97790127,0,0,176.5718314,0.67274622,0,0,0,4.02091463,5281.405884,7703.6233,1.12612654,144,0,0.80215932,244.4821646,511.4285714,0,2013.347424,0,40,500,300,442.01235,0,12374.24926,16426.32193
81,3013.647698,671.493219,5400.835925,1413.758249,0.370678295,0,719.4387916,198.5330158,524.9615029,0,361.5820894,48.24239126,0,0,222.8620082,0.97790127,0,0,176.3664095,0.67274622,0,0,0,4.02091463,4956.399774,7801.363767,1.12612654,144,0,0.80215932,244.4821646,511.4285714,0,2013.347424,0,40,500,300,470.0128653,0,12146.97926,16227.05245
